page,lang,status,nav_exists,nav_structure_matches,css_lock_present,old_override_absent,logo_present,menu_present,review_present,language_present,reserve_present,eyebrow_position_lock
es/roteiro-meio-dia-urca-pao-de-acucar.html,es,PASS,True,True,True,True,True,True,True,True,True,True
eventos.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
feijoada-com-vista-rio-de-janeiro.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
feijoada.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
gastronomia-carioca.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
guia-do-rio.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
index.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
morro-da-urca.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
nossa-visao.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
o-que-fazer-depois-do-bondinho-pao-de-acucar.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
onde-comer-no-pao-de-acucar.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
parque-bondinho-pao-de-acucar.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
parque-bondinho.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
por-do-sol-morro-da-urca.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
restaurante-bondinho-pao-de-acucar.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
restaurante-morro-da-urca.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
restaurantes-perto-do-pao-de-acucar.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
roteiro-meio-dia-urca-pao-de-acucar.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
