page,status,score,word_count,faq_count,has_ol,has_restaurant_schema,has_video_schema,aggregate_rating_count,keyword_present,keyword_missing,award_present,findings
index.html,PASS,98,7290,34,True,True,False,1,restaurante no pão de açúcar,restaurante pão de açúcar | restaurante pao de acucar | restaurante no pao de acucar rj | av pasteur 520 urca rio de janeiro,Veja Rio | Prazeres da Mesa | melhor chope | Heineken | feijoada premiada | caipirinha | Magnífica | picanha,"Keywords ausentes ou pouco literais: restaurante pão de açúcar, restaurante pao de acucar, restaurante no pao de acucar rj, av pasteur 520 urca rio de janeiro"
restaurante-morro-da-urca.html,FAIL,86,1217,4,True,True,False,1,restaurante morro da urca | restaurante no morro da urca | restaurante no pão de açúcar,restaurante pão de açúcar,Veja Rio | Heineken | feijoada premiada | caipirinha | picanha,Keywords ausentes ou pouco literais: restaurante pão de açúcar | FAQ insuficiente: 4; meta 8. | Falta VideoObject schema recomendado.
cafe-da-manha.html,PASS,93,2395,8,True,True,False,1,cafe da manha na urca | café da manhã na urca,café da manhã pão de açúcar | cafe da manha pao de acucar,Heineken | feijoada premiada | caipirinha | Magnífica | picanha,"Keywords ausentes ou pouco literais: café da manhã pão de açúcar, cafe da manha pao de acucar | Falta VideoObject schema recomendado."
